,comment_index,comments,keys
825,31,"Hello Aurbee team, Two months have passed since your last update. I will not ask you to give a fixed date for reward delivery. But please write another update to your backers. Most backers will accept delayed reward delivery, if the project manager gives information about work and progress. In your next update, please mention why you chose to switch from a 4layer board to a 2layer boards. In what ways is 2layer better than 4layer Thanks.",889853117
826,8,"My wife and I had a wonderful time at the Homebrew Reunion. Thank you to Jol, Lee, Hilda, and the original Homebrew members who made this event possible! Although the 30,000 stretch goal was not met at the final tally, I was wondering if there was an official photographer for the event. If so, I would love to view the album.",890139138
827,89,"Hello Jesus, I will send you a message and we will make sure that you get an olloclip.",890630469
828,58,Could we please get an update Its been a month since the last one. Thanks.,892117197
829,13,"Dan, Great idea. I dont plan on teaching in the classroom, but having the ability to quicky have the parts I need to try out ideas on hand and never consumed in a project is a great way to prototype. With this kid I could build what I want, test it, finalize it, and then have a order sheet of parts needed to build a dedicated model. I certainly believe you will meet your goal. Best of luck.",892987259
830,65,Scott Munoz  I received the Kickstarter reward unit on Dec 17th and the unit I ordered from the Tellurex website on Jan 4th. The kickstarter unit won.,894167038
831,12,"I dont believe a word you guys say anymore. Youve never given us anything to prove otherwise. Even if by some fluke we get a juicebee, how many of us are actually going to use that piece of junk",894319374
832,20,"Hannah just donated and sent this comment This would fix the whole world if it pledged to the real worth of its use. Pike, I am wheelchair bound for the last two years. I still feel like a newbie cause I am still learning. I am in love with your new pad. Even when I was still walking, I was always frustrated by pads that were hidden behind bushes, pads that opened just one door, and then the twist to see which side was going to move first then realize nothing was moving. I would give you all my money to see something like this come into the usable world. Like I said, I am a newbie. But if this has been thought up before, it should of hit the jackpot. Hang in there Pal, I firmly have your back. Hannah",895557833
833,2,Pictures of the finished units are looking great. No probs on the delays guys.,895562984
834,108,4 hours on KS and already on 34 of goal... looks promising ,895655598
835,165,"Thanks so much guys! Seriously I couldnt have done this without you. To me, Kickstarter is much more than a vehicle to fund my project. Its an opportunity for me to learn and to share my passion with those who care. Its been so wonderful hearing from you this past month. I cant wait for you all to receive your Hooke and begin capturing the world in a way its never been heard! Lets have a stellar next 10 days. And get ready for a BIG update on Tuesday. All the best, Anthony, founder.",895890710
836,13,Never mind I see the description was changed since I saw it.,895988723
837,89,Where can I get a copy of the reciept for customs purposes,898180591
838,35,So close Im hoping to get this kickstarter project for my 2 cats plus my brothers cats,898927365
839,252,"Hello, Thank you all for your interest and support. My apologies for the delayed response, Ive been responding to individual questions on a onebyone basis and adding responses to the FAQ. Here are some answers to the questions asked below.. coolcatiger  The iGuardian is not the same as a Skydog router. We are focusing on threat prevention and protection as opposed to user and application management. Boone Simpson  We intend to leave the iGuardians software platform opensource in order to make the it flexible and powerful for advanced users so adding this capability on your own is a possibility. However, right now we are not currently planning on implementing the sharing capabilities youve described. Were trying very hard to limit scopecreep in order to maximize our QA and Beta testing capabilities and deliver our backers the best product we can. fmotta  While it is true that the Octeon 7020 supports USB connectors this is not something we are currently planning on including in the product. Were really trying to optimize the BOM cost in order to produce a costeffective product for everyone. Elie Sasson  In order to maximize performance weve designed the iGuardian to use the same type of special application network processors found business grade network security. Were targeting a minimum of 50Mbps of effective throughput. Please kindly refer to the FAQ for a more indepth response. Kind Regards, Daniel",900815374
840,12,"Carlos, were glad you did! Were currently working toward designing for manufacturing which once done will give us a reliable idea of what we can retail for. And as a FishBit Beta backer youll definitely be among the first to know what that is because wed love to see a FishBit in your parents tank!",901568725
841,10,Cant wait to have access ,902047561
842,0,Ive now replied to your message.,902214802
843,6,Do you have any updates yet,902633691
844,60,ATT  Cogent seem to have some trouble to talk between them causing lot of sporadic Internet issues. So try again latter.,903701348
845,29,Testing it out on the Park City pipe httpwww.youtube.comwatch,904563191
846,6,"I am sure it will be worth the wait, Hardware can always give you problems trying to make it as foolproof as possible.",904800959
847,36,I have the same question. What is the new delivery expectation,904953446
848,64,"Thanks Marcel! These HemaImager and HemaVision will all ship at the same time due to the lead time on the main sensors order. Well be keeping track and messaging those who do pledge more than their level, we expect at most a few dozen people will get both the HemaVision and HemaImager, and were tracking orders for the lenses as well, so people who added for the lenses andor a HemaImager but backed a HemaVision or alternatively who backed a HemaImager but added the amount for a HemaVision or a lens.",906137627
849,14,"Daniel, I purchased the 4 pack which came in at 120.XX USD or almost 146.40 CDN. That is 36.60 CDN per battery never mind any possible duties and taxs etc. As much as a TShirt is great a extra replaceable battery is even better for my use case.",906579958
850,232,Sweet!!!!!! Great project! Bravo!!!!!,909580953
851,44,"Evelyn 2 days ago Consolidated List of People Wanting A Plugaway Refund Add Your Name If You Want Your Money Back Please copyandpaste this list, including the header above, and this preamble, and add your Kickstarter username to the top of the numbered section. Over the months, many people in these forums have publicly requested a refund from plugaway, Torrap and the John Storm. These requests have been easy to miss, because there are hundreds of comments. 1. Alvin Wu 2. fan kwok kei 3. Gerrit Fischer 4. Tobias Krgholk 5. Richard C 6. Robert Hercz 7. Sardauker 8. Frederic Biermann both accounts 9. Solomon Peah 10. Gerhard 11. Frank Greco 12. Kalus 13. Shitij Bahl 14. Michael Swift 15. Scott Beasley 16. Juan Contreras 17. Alastair Hewitt refund request made Feb 4th 18. Paul Seccombe 19. Dennis Verschoor 20. Nathan Phillips 21. Clment Thersiquel 22. Ls Song 23. Trevor Williams 24. Tommy Boucher refund request made Jan 30 25. Colin Chapman 26. Alon yair 27. Evelyn Lee 28. PJ Gray multiple refund request",909702674
852,32,"Hey Ccyclone, thanks!  Ya, thats something that Ive been thinking about. I have a couple of ideas that Im working through. .. ",910409910
853,13,Received my displays today. Please inform as to removal of pressure sensitive tab over flex cablescreen and also the scratched screen protector or is it a filterpolarizer,911626919
854,4,"To all the others here. Its clear John is not responding to comments on here. Ive also sent a private message to him, but no response as yet. Has anyone else had any better luck than me getting in contact with John",912880652
855,135,I know the wind sensor  it is a Airmar Weatherstation  GPS unit   Maybe the WX150  station from what I can tell. Prices from 8001400 dependent on features. It is available with GPS and MEMS sensor for rollpitch and yaw. The older models PB150PB200 uses almost twice the power  but I have one as my land weather station. More here  httpwww.airmartechnology.com2009weathergpsheadingproductresults.asp This could be an alternative for outdoormarine  httpwww.lcjcapteurs.comproductswindmasthead  as it runs of its own solar panel. But does not have GPS receiver etc.,913072768
856,15,Hi Andrew  too bad it wouldnt work.  I cant wait to get my hands on this little kit... Its like waiting for Santa to come.,915095415
857,25,"GREAT product, get it off the ground!",917121482
858,3836,"Holy crap, alot happned tonight!  Almost at the last Stretch!  Gratz!",918228637
859,10,"Karlo, great to hear and thanks for your support! Kids were having a lot of fun a the booth with the automatic drone flight path and solving the maze with a Sphero ball.",921137506
860,26,"Richard, Im glad you see the value in this. Arcade style games need to make a comeback! Grillo, if I get to go, the podcasts will be epic!",921729532
861,172,"How do you get the Arduino Uno to work with Modkit on Win7x64  Arduino 1.0.1 talks and programs the Uno just fine, however I cant get Modkit to even detect the Uno. I have ModkitLink0.9.9.1win32 installed and its running the widget.",922111928
862,0,Congratulations on successful funding! I funded the early bird filastic but meant to change it to the student pledge one due to your recommendation in the comments to get the filament support. Is there any way I could send you my transcript when it is time and also get the filament support,922330944
863,1105,Any chance of an Update,922417514
864,73,Thank you so much!,923385828
865,11,"As a backer of Alans previous book projects, I was overjoyed to see that he now wants to cover Bootstrap. Here, take my money!",924687885
866,32,Thank you for the update.,926266608
867,6,Its June. When will we hear word about shipments,926878686
868,10,Really excited to see this! Good luck guys. Hope to see you in SLC again.,927981368
869,16,"Just to clarify, will I be able to use Maid to cook frozen foods like pizza since there are no buttons to set the temperature and time. I want this oven to replace my Breville oventoaster.",928992223
870,42,Where is mine Or refund,929933816
871,84,"The switch between PLA and ABS should only be a quick switch out of the auger and some setting changes as was stated. I will normally be using PLA, but I do have a need for some ABS from timetotime. So, switching or setting up for the different materials will not be happening on a regular basis. Even if you only plan to use one material, having both options provides you the ability to make either if the need arises in the future.",931234820
872,15,"Hi Deepra, Thanks so much for your commentquestions 1. Is Make!Sense mini works with Scratch, Processing, and other programs Mini works with Processing but not Scratch at this time, though we are working on it. I think Max is your better bet. 2. Is there any syllabus or training manual that comes with all the rewards tier If not, could you specify which one dont have In physical book or pdfs Manuals, videos and instructables are coming, this is the reason we are asking for Kickstarter money because as you can see we already have the boards finished and ready to ship. 3. Can Make!Sense maxmini works portable or it must always tether to a laptopcomputer Mini clips into your tablet or phone in the microphone jack, so its not tethered to the computer, but rather plugged into the phone or tablet. 4. Is that many Make!Sense boards necessary in Constructionist Bundle How about a tier with the most minimum Make!Sense boards as needed in accompany training manuals with all sensors We can probably arrange to make a special deal for you with fewer boards and more sensors, but right now the Kickstarter Rewards are fixed. 5. Is Make!Sense use proprietary sensors Or, I can use any off the shelf sensors such as those from generic Arduino kits Off the shelf sensors are fine, but my current boards only function with analog sensors resistance, voltage not digital sensors that send coded data in a data stream. There are plenty of analog sensors to choose from, and I will bundle some nice ones for you. Thanks so much for your interest. Steve Lewis",931356884
873,41,"Once again I have to report that although Sixs info was premature...it was indeed correct. I signed up for this Meet Up group last month while trying to find out about the goings on at Smartmaker from any one of the other 63 members. None I contacted had any info. As it is they only had 3 abbreviated meetings since starting 15 months ago. I just got this motive from the Meet Up website Members of smARtMAKER  Orlando Tinkerers, Hackers and Makers Group, Your Organizer, smARtMAKER, just stepped down without nominating a replacement. Without an Organizer, smARtMAKER  Orlando Tinkerers, Hackers and Makers Group will shut down on July 9, 2014. www.meetup.comSmartmaker So its clear Dimitri has absconded for good now, leaving Old yella in a moribund state. Harold has been MIA with a cold the past 10 days. It remains to be seen how his recovery goes ",931585099
874,119,"Is it too late to add 30 for 2 wIfI modules If not too late, please let me know how to do it.",932013259
875,32,"How do i reset the configuration, I seem to have picked 5 megapixel and the system stopped working. Thanks, Roo",932673824
876,19,Dev Excellent choice! We are indeed working on the first streched goal. I hope to have some good news in a couple of days. Stay tuned.,935237695
877,36,"It is august already, the scheduled delivery is September , hopefully we will get a survey backer kits soon.",935945892
878,69,I too need to order the 220v option! many thanks,937266460
879,945,"samoanjo We have a large number of European backers  and are currently exploring a fulfillment partner to assist with shipping. Pebbles issues resulted from lack of a correct CE sticker and certificate which completely matched the product name, missing paper work, misleading invoice list to customs, and no German instruction manual at least from what we have gathered. We plan to have all these things.",941348329
880,867,Just in case anyones interested  Dabs are selling WD 6TB Green SATA 6Gbs 64MB 3.5 Hard Drives for 184.99 at the moment usually sold at over 200 Please note  These WILL NOT fit in a Slice....,942353248
881,5,No update since November and the first issue was supposed to be out in December or Jan 1st for good luck. Whats going on,942518968
882,5,"Will TRSST be licensed under a particular open source license GNU, MIT,... Thanks in advance.",942741362
883,20,I agree with Daniel Eggerman. This does not work with my ASUS vivotab note 8. I had the Dell VP8 when I first signed up for this campaign.,943749421
884,34,"Michael, It is encouraging that a leader of the public web is among our backers. Congrats on your latest launch. Some things deserve to be shouted from the rooftops, others, are more private. Thanks for the Pledge, Sean",944254727
885,53,"While it might be fine with the Kickstarter guidelines I havent read them, I must say that I agree with Paul Dutch. Personally, I dont oppose animal testing or using animals for genuine research, but I just dont think mutilating animals even cockroaches to play with is right, much less encouraging and enabling others to do so! If the funding was to do focused research involving the same technology, Id be fine with that, but this is just turning a live animal into a mutilated cyborg toy for commercial gain. It genuinely makes me feel sick in the stomach, and has very much changed my feelings towards Kickstarter as a whole. I wouldnt be able to sleep if I didnt say something. This isnt science at all. This is the equivalent of removing a flys wings to watch it wander hopelessly in frustration until it eventually dies, only in this case much more bizarre. Reiterating the fact that there is no proven painfear response is the equivalent of saying its ok to rape someone while theyre in a coma because they cant tell you to stop. I do have some respect for Kickstarters rules only because of the many brilliant projects they help fund and as such, I do not at this stage intend to withdraw my pledge I may change my mind, but Im not sure if I can withdraw it anyway. I feel as though the onlypledgerscancomment rule forces us to stand alone and face a wall of opposition when we really do have a lot of support in the wider community I would be surprised if the majority of people are comfortable with this type of product. I have read your page on ethics, which I find dances around the topic by way of either answering questions with statements that equate to it is neither proven nor disproven so therefore we are right or misrepresenting education as research. When I was at high school, in science class we were explicitly taught NOT to experiment on live animals. We performed dissections but this was on pieces of animals which had already been killed for other purposes meat. As somebody taught by the Australian public education system, I am deeply disturbed to hear that other institutions do not share these ethical concerns. If there is anything to be learnt from this kind of experimentation, why cant it be learnt once, in a lab, and reproduced only as necessary to validate or build on the results, rather than commercialised as a gimmick If the road to hell is paved with good intentions, then where does the road made of aimlessly mutilated animals lead If this is not of ethical concern to Kickstarter, then what is In summary, I dont care what you do on what animals in your own lab, but using a medium like Kickstarter to aid and encourage others in the seemingly pointless mutilation of animals especially in the name of science is simply wrong, and I am completely opposed to this. PS I will also be lodging a complaint with Kickstarter itself. Also, for the record, I hate cockroaches, Im not doing this just for them but for the credibility of Kickstarter and the scientific and education communities, as well as out of fear of what might come next if this project is a success.",944294769
886,8,Happy Thanksgiving!,944722049
887,36,Looking forward to more updates! Got anything in the tubes ,946820322
888,23,"Kodi Ah yes, if you dont have a second transporter then you would need to have Connected Desktop installed to use the host access for users without transporters functionality. I recall they said being able to access files on a FT without CD installed is a future planned feature.",950821175
889,83,Have you guys gotten far enough to tell who won the free plasma trim on the survey,951335795
890,6,Only 3 hours left!,953245600
891,41,Great design. This is much needed. This product can make a difference!!,954675231
892,12,Lawrence youll have to hit manage pledge and up the dollar amount by 35 or create a second Kickstarter account. Then get with Pete at the end so he knows which rewards youd like. Unfortunately KS doesnt handle multiple pledges by one person very well.,957272836
893,39,Will the complete kit come with Resin Would it be a good idea to order additional Resin when shipping is confirmed,958278534
894,31,"Hi Jason, probably early next year. Hi Michael, just let us know when you switch and we can change your case order.",960120967
895,76,Mine arrived yesterday. It came by USPS. It seems to be exactly as described.,960347124
896,16,"Great idea, love the project. Wasnt however really grabbed by the incentives. How about a mini technical demo or 3040 page book or well designed pamphlet on how you built the site Use the visual budget as worked examples. I love infogrpahics butt having them on my wall doesnt do it for me. Good luck a worth while and fantastic idea.",960921391
897,32,Taylor Froelich Thanks! Absolutely you will get to choose the color of your Contrejour. When we survey all the backers for addresses we will get that info from you.,962361784
898,1,"hi, i also havnt receive my reward. please do update.",964335740
899,483,"I second Scott Allens idea! Seems like a easy thing to do, and would cut down on costs. Since were mostly makers here I dont think wed shy away from snapping a small case together D",965102512
900,25,Any updates,969890999
901,23,"Hello Dennis. We are happy to hear that your VSlot arrived! Were working on perfecting our packing and shipping methods. We are not aware of any minor damage that would have existed prior to leaving the OpenBuilds warehouse. Therefore, we will work on ensuring that the ends are padded as much as possible to avoid this in the future. We appreciate the feedback and the understanding! Thanks, Mark and Trish",969891707
902,17,"Ah, okay, cool. So its a FULL kit. And more colours is always a fun thing! Thanks for the info.",970345408
903,10,"Awesome! Glad to have you on the beta, Caspian!",972070423
904,9,"Im sorry I havent posted an update recently. I have been working away on manufacturing. I should have those shipped by the end of April. The box manufacturer had some significant delays, causing delays on my side. The boxes are on the way to me now, so I can finalize everything and get them shipped.",972089406
905,4,"Nancy, I absolutely love those !! Tactile, mesmerizing color... very, very satisfying. Visually stunning  they pixelate. !",972485841
906,38,"JiLPI, Thanks for your support! 1. Yes. You can surely add additional items. Simply add the price to your existing pledge and mention it in the survey that we sent prior to shipping. 2. Thanks for letting us know. We will fix this!",974373268
907,7,"Hi Jeffrey, Weve updated the FAQ, and posted an update with a new format of sharing the info. Please give it a look and let me know what you think!",974546453
908,71,"Jim Kirk That is a good question. Kickstarters rules for hardware projects only allow for a single quantity backing offer. However, I have seen other projects that seem to violate this policy. Maybe they would allow a double reward since the solution isnt complete if it isnt protecting all doors. I will reply when I hear more from them. Thanks!",974571075
909,1,Got mine in US today. Thanks.,977917415
910,5,Do you have a project status update for the end of April I know you can only complete what you have the parts to complete however a quick update would be nice. Thanks,978007634
911,63,"Michael Absolutely  the satellite will communicate on the amateur UHF band, and whenever it is out of contact with one of our own ground stations, it will broadcast telemetry data using simple Morse code. Well make the satellites position available online so youll know when its overhead! Cheers, Joel",980177559
912,7,How about an end of May update then,981402963
913,215,"hmm. i guess i can live with that. Yes i think i am ok with this. As long as the frame can act as part of the build platform when need be i am ok with the actual build plate not being a full 8x8. I am looking forward to getting this build plate. Alas, why must i be forced to wait till the end of the year for all of the projects i look forward to the most.",981570901
914,7,Thanks Assata! Your support means a lot.,981875272
915,10,"Ive been checking the documentation pages for details on what steps Ill need to take to link the two units to get RTK connections sent from the base to the rover, but have yet to find any details. Will these be coming soon Also, given that the Piksi is a PCBlevel solution, I want to make sure I have all the parts Ill need to hook everything up when my units arrive. So, just to make sure, will I need to purchase any additional parts, such as JST connectors, etc., to make everything work If so, can you provide a list so I can get these parts ordered in advance. And, it would be nice to get the specs and part numbers for the PCB edge connectors so I can get spares for other applications. Can you add this information to the documentation or, if Ive missed it, tell me where this is documented Wayne",985736936
916,25,"This is one of the most exciting projects in the world! It is a revolutionary new model for biotech development, and I wish it the greatest possible success.",987215297
917,23,"Oh, and to anybody who wants to tweet about it you can use hashtag HighFrontier, and this shortened URL httpkck.st1tAsuQI Thanks for helping to spread the word!",988679902
918,19,Brushbot hacking now live on httpwww.ustream.tvchanneltheairboard with BLE mobile developers.,989209967
919,962,"Rob Trem Don Chen Im also backing Switchmate, and they just provided an update showing that Flipswitch is compatible with their product. That said, I cant see a use case in my life where that would be helpful since its the difference of taking my phone out to change the lights...",990028891
920,85,Who cares!!! I want mine.,993436841
921,54,"Thanks Galvanic team for the update  The Pip color options look really good  cute, even!",995689166
922,13,Thanks so much for your detailed response. I guess the better question is what is the most environmentally friendly material thats available now that I can use the David Thanks.,997225209
923,42,"I just fired up my new Waka Waka, and it works like a charm. I love the wordless instructions, and Im so proud that a kid somewhere in Kenya is sharing my enthusiasm for your product. Well done!",998276929
924,312,"Daniel, I agree, the 69 shipping and handling is a bit of a shock, but it still comes out less than a new one with free shipping. The refurb also comes with a 3 month warranty new ones have a 2 year warranty But for the price you can relax a bit if its set up in an unsure location. You can always get a new one later currently 291. I was leaning toward their pico screen but its 43 and 90 and has to be put on a table.",1000629643
925,16,Any update to share regarding your roadmap after the build announcements ,1000776914
926,25,Meant to spell Fritz sorry,1002492289
927,7,Love the mascot Jerry!,1002692211
928,164,"Hello, Is your product accurate enough Ive got a little difficult to understand how it works, but I hope it can be exactly enough.",1003481542
929,26,"I would like to say within a week or so, we have a new shipment of spheres on the way in, and we have to tack the nuts down. If you wish I can start preorders on them.",1003946946
930,5,Thanks for the kind words Raleigh and Neil!,1004500333
931,112,"bwolf Nope, were doing our best to keep the cost the same. The Kickstarter units will of course ship first, though.",1004686676
932,147," Roger  WOW! I love it. You might test some of the covering material to see if it reacts is damaged by with the resin, might need to be extra careful if it does.  Eric  James  Thanks for the positive feedback, I took some inspiration form Nopheads Mendel90 packaging, nobody wants a poorly packed kit!  Sebastiano  Coming soon once I have all of batch 1 shipped I will have time to finish this.  Colin Richardson  I will add an option to the next survey if you want to add the printed parts as well, the cost for both the metal and printed parts will be identical to the normal kit price.  Bert McMahan  I generally just put the models in the sun for a few hours after they have been thoroughly washed. I prefer a sonicator with IPA followed by a very breif dip in acetone to remove the water from the IPA.",1005063605
933,63,Thanks MrClem! ,1008109037
934,15,"Im in no hurry for the board... but, an update would be nice!",1009463663
935,289,So did KS end up releasing the funds for you pull the trigger on your longlead orders,1010018624
936,59,Could this possibly be used to colour calibrate a LCD screen,1010535635
937,1523,Its a bit odd to say as it adds no function but the lighting and frame material makes it just enough better then its alternatives for me to go with The Vision,1010631065
938,44,"Thanks, as always, for the updates, Matt! Looking forward to my IllumiBowls!",1012673335
939,291,Rafael  if you look at the video you will see the special faceplate for iphone 6 shows the camera pointing out.,1013408690
940,37,"Frank, thank you for the support!!",1016134832
941,12,"Ravi Todd If all goes well, we hope to release the ScratchJr iPad app at the end of July.",1016211179
942,205,"I might be really dumb but have no idea how to get started. The instructions are telling me to open it But I cant open it not even with a flat head screwdriver. Besides that, I love the look and feel of it so far!! Its smaller than I expected too! Thanks!",1016357821
943,155,"Hi Jorge, Thanks for your question. Heres our answers 1 Unfortunately Hulu will not work for you with SurfEasy at launch. It works with other video and music streaming sites but because of how Hulu uses Flash it is very difficult to control how it connects to the internet through the browser. We are working on a solution for this  but I dont have an estimated delivery time for you right now. If hulu specificly is your primary use you might want to wait until we get that feature working. 2 We will allow video through the servers. 3 Kickstarters will receive unlimited bandwidth as long as they own their SurfEasy key. When we launch the product commercially there will be a service fee tied to bandwidth. We will treat kickstarters the same as post launch customers in terms of bandwidth  no artificial throttling and that type of stuff. Terms and conditions are in the works  if when you get them youre not happy with anything weve done please tell us and if we cant work something out well refund your pledge. thanks Chris",1016549487
944,5,"Hi Team A, Whats been happening Were rushing toward Dec, 2014.",1020357088
945,9,Kirk Hill Thank you so much for your donation and your feedback! Both mean so much to us! VoiceKiteRocks,1021063280
946,10,Received my reward yesterday and it all looks great! It was complete and I look forward to trying out the screws. Love the beer koozie! Nice job guys and good luck with the product.,1022046093
947,7,Congrats on making the goal! Really excited to follow you guys! Good luck!,1023720141
948,15,"Wth is going on Are you guys just gonna take pictures of you drinking god damn redbulls on everyones dime or send out what everyones already paid for At the very least we deserve some incite as to what you have been accomplishing, while were waiting for our long over due product .",1023770351
949,12,Congrats Patrick on what looks like another successful project!,1024874385
950,3,"Got it today here in Ireland will give it a go later thanks ,,,rock on",1025449476
951,236,Congrats guys. I fully expect this thing only to get better as time goes on.,1025701043
952,73,I would like to buy two... How is this done,1026200929
953,131,"Now theres some cool ideas, Matthieu! I like the idea of being able to use tiny little flanged bearings as train wheels too, add a servo to that, and you could build little bitty linear actuators!",1028828516
954,283,Likewise!,1030119189
955,10,Youre welcome! Drew,1031668355
956,21,"Hi Squeo Team As much as I appreciate this project,its now end of May and still no updates on shipment is making me sad.",1031827961
957,17,"Hi Mike, I have enjoyed using the LPLC and leaning to use MPLABX with C programming, that I want to build a weather station and the TOO would be great for external senors. good luck with this Kickstarter and keep up the good work in the EPE magazine. Glen",1032121365
958,85,Has anyone else had the blue indicator lights flash on while you had the cover closed and IPad locked My blue lights flash when Im not using my iPad.,1032966918
959,12,Hello! Weve just install a new login page and a reset password option. Youre now able to change your password in the P menu And thank you for your encouragement!,1033109842
960,41,"Couldnt find a way to edit my first comment but I just read the FAQ was browsing on my phone and since KS isnt really great on android I missed that section and got one answer I was looking for. To bad the shipping to EU is that high, this piece would fit perfectly in my tiny apartment ",1033947460
961,17,"Done it the other way round, kit and changed to 1908 hope you work out what I want, there probably are other ways to get to that total. Thanks for the rapid reply",1037322577
962,8,Feedback needed for the LED Bar n.2,1038610502
963,20,"John  Just contacted a couple of other backers and they confirmed that their PicassoBots are also writing backwards and they modified their code to compensate. There were two batches of metal gear motors from different vendors  but supposedly same manufacturer that we used so I can only think that not all servo motors are set to turn the same direction. I am looking at the code now to see if there is a quick way to compensate without knowing about the servo, otherwise I will post the fix that has been done.",1040878107
964,27,Ken .. We have left you a personal message with the tracking . Thanks !,1041475835
965,11,Would be possible to trigger an event when the shower turns on or off I would like to use it to automatically turn onoff the bathroom ventilation.,1041687102
966,403,I wonder if they are even really being shipped no tracking numbers and no pics of fulfillment I have no trust in what you say,1042353389
967,36,"If you are unablle to chage your design for ORA X, at least make it look like the one shown in your Ora X concept design, not the big earmuff design that looks like airport ground crew.",1043385803
968,8,"SidB Hi Sid send me details smstextaddict at gmail Ill look into it. My next board Ive just designed isnt so much educational but more useful but thats all I can say on that but I have three other boards at various stages, two to that can added to this one, thats the plan anyway.",1048647307
969,32,Great product here. Lets get this going.,1049652474
970,6,"Reading through the posts here, I see Im not the only one experiencing the same issues  I cannot connect to my home network and if I do plug a lamp into the outlet it goes dim, then shuts off, and then flashes, then repeats. I have called and emailed multiple times for assistance and have received no response  obviously theres a problem with the outlet  can we get a solution",1049680370
971,541,"Jorge Femat Solis The flash cable will be a PC Sync cable with a length of about 30 cm. You can use any regular 3,5 mm mono extension cable. We have tested extension cables up to 5 meters without any issues. I am sure we could go further.",1050045256
972,3,"The internal antenna versions and kits are shipping now, the external antenna versions will ship next week. Hope this helps! Jason",1050319360
973,39,all backers who do not get Keplers yet We will sent out all the tracking number to you one by one and tell you how to check it before this Saturday. Please simply wait to check it by yourself. Sorry for the inconvenience caused. Kepler Team Facebook Orvibo httpwww.facebook.comorviboshenzhen Twitter ORVIBO httpstwitter.comORVIBO,1050326222
974,9,Kewl! And cool video too!,1052830150
975,5,"FWIW, I got my Alumina in the mail on Monday, but havent had the chance to try it out yet. Totally wanting to try it out but havent had the chance so far!",1053380164
976,2,"Finally got my customs notification today, so I could go to the customs office, they accepted the project page and 199 kickstarter pledge confirmation as payment proof, so taxes where a little lower compared to what I would have had to pay if they used the value printed on the label or what I actually payed  Would have been nice if the included psu had a plug thats compatible with our wall sockets as told in the faq, but at least its multivoltage so maybe I can get my hands on a travel adapter to make it work.",1055566424
977,2,Very cool  looking forward to it  keep up the great work. Lin,1055820618
978,46,Update please!!,1056766730
979,87,Would it work with the BB10 android emulation platform,1056848468
980,34,Dubstep Dragon  Harrison Lim  Rajesh B K  I am getting the same status for my shipment. It is close to 2 months and I have not yet received my shipment. The folks at Forte really need to look into this ASAP. Lets all go to twitter and post about our problems. Nothing a bit of bad publicity would not solve.,1057053661
981,2,Any update,1057435473
982,1,"Thank you, Rukesh! And yes I agree, I think educational resources are a key part of making electronics more accessible.",1057752953
983,30, Edward Wong good timing. Im working on that today in fact.,1057979341
984,23,"YoBox labels are made to be selfadhesive. For durability and security reasons, they are not designed to be reusable like PostIt. You can certainly peel off the label from an existing box to reuse them, so long as the NFC RFID andor QR code are not destroyed in the process. Alternatively, you can cut off the entire side of the box with the YoBox label on it and tape that to a new box. However, thats not something we would recommend.",1058069720
985,5,Received it today! yeah! However I wont play with it for a while as Im fighting a double pneumonia.  Sigh... To get new toys and be too sick to play with them really sucks.,1059068312
986,38,"Hi Backers For those of you asking about the new mount, its been produced and we will start shipping them at the end of the week. Please send us an email at supportrideye.com if youd like one!",1059192052
987,45,"Thanks, for comment. I press that left side but still not work  hmm not sure what to do now. I can see it power but no image come to lens. Shusharin yes for the top gun yes i can charge but for the handle the one with controller part I charge with power on and off over 3 or 4 hours but still no power ",1060828669
988,7,"Update 7, I meant. Alternatively, here is the housing file link httpswww.dropbox.comsd258ksu48fiztf9SmokeSignalHousing.3.15.15.zip",1060904411
989,6,"I wanted 2 x 15W  didnt find a reward that had multiples. So I did 110, 2 x 50  10 shipping. Is that OK",1061742610
990,18,"Thank you for sharing Ben. However, I cant help but think that the Linkio team would have been better of posting this for the whole backer community of 508 backers than to send it only to you. Incidentally, I think that only 508 backers for a device like this is just to few backers to make this a reality unless they do indeed try to get additional funding from investors.",1062975472
991,8,Can we have an update please,1064388253
992,3,I chose shipping outside USA but there is no option to ship overseas...,1064656974
993,9,"Daniel Moffat At the 40 pledge level you should have access to all three courses. No need to pay anything else. If you havent gotten the emails with the download link, please send us an email to info at real python.com and we will get you sorted out.",1065015889
994,266,"Dear CP and backers, I wonder if SCiO can measure pH of the solution.",1065249597
995,10,"I backed this project for multiple of these. Can I get a refund, and if not, when will I get it If you could let us know that would be great.",1067365635
996,207,Guys I just wanted to say Im so excited about the apparel. I just got the triple pack!! I live in San Francisco so ill be sporting it at the clubs!! Best of luck!,1072422950
997,348,"Just signed up for the EaryBird but wondered how to add on additional modules. Love the USB and Breathalyzer, but didnt see where to add these to my pledge as mentioned in your infographic.",1073203998
998,22,"What an awesome idea! I cant wait for this to be fully funded and up and running. What an incredible tool for aspiring entrepreneurs. Good luck, mike. This is going to be great.",1073213518
999,0,"We basically bought a 1,500 table that our printer now sits on. Its a nice table, but not what we were hoping for.",1073788207
263872,32,"Hi Ewoud, Sorry for the late reply, I have sent you a message regarding your reward.",297790642
